author,book,mark_num,price,star,time
[日] 岛田庄司,占星术杀人魔法,22522,28.00,8.3,2008-9
吴军,浪潮之巅,20445,55.00元,9.1,2011-8
[日] 村上春树,舞！舞！舞！,22538,25.00元,8.3,2002-6
海子,海子的诗,20764,15.40,8.9,1999-04
王国维,人间词话,20486,9.80元,9.0,1998-12-01
[日]芥川龙之介,罗生门,21368,12.00元,8.7,2008-7
[美]马里奥·普佐,教父,20223,23.30元,9.0,1997-8
[美] 尼尔·波兹曼,娱乐至死,21515,29.80元,8.5,2011-6
张爱玲,第一炉香,21919,11.5,8.4,1997-3
严歌苓,芳华,22465,39.00元,8.1,2017-4
纳训,一千零一夜,20948,22.0,8.6,2003-01
[美] 史蒂芬·柯维,高效能人士的七个习惯（精华版）,21777,29.00元,8.2,2011-6
[意] 埃莱娜·费兰特,我的天才女友,21454,42.00元,8.5,2017-1
[美] 约翰·威廉斯,斯通纳,20198,39.00元,8.8,2016-1
(英)W.萨默塞特·毛姆,面纱,20456,32.00元,8.7,2012-05-01
王朔,动物凶猛,21495,15.5,8.3,2004-2
三毛,雨季不再来,20226,28.00元,8.7,2007-7
夏达,子不语1,19089,RMB36.00,9.0,2009-12
严歌苓,小姨多鹤,20338,28.00元,8.6,2008-4
[英] 阿加莎·克里斯蒂,罗杰疑案,19319,21.00元,8.9,2006-5
刘瑜,观念的水位,20957,36.00元,8.3,2013-1
三毛,万水千山走遍,19431,13.80,8.8,2003-08
杨显惠,夹边沟记事,18397,34.00元,9.2,2008-09
齐邦媛,巨流河,19705,39.00元,8.7,2010-10
[美] 艾·弗洛姆,爱的艺术,19251,15.00元,8.8,2008-4
[英] 莎士比亚,哈姆莱特,20041,7.00元,8.5,2001-1
黄仁宇,中国大历史,20695,19.00元,8.3,2007-2
白先勇,台北人,18908,38.00元,8.9,2010-10
[日] 村上春树,寻羊冒险记,20861,18.80元,8.1,2001-8
（英）乔治·奥威尔,动物庄园,18232,18.00,9.1,2000-08
林达,带一本书去巴黎,19438,35.00元,8.5,2002-5
王小波,白银时代,19833,10.00元,8.4,1997-5
[英]狄更斯,雾都孤儿,20460,10.10元,8.1,1991-7
桐华,云中歌1,20363,24.80元,8.1,2007-9
湊佳苗,告白,18718,NT$250,8.6,2009年8月31日
海宴,琅琊榜,18578,49.80元,8.5,2007-12
[美] 贾雷德·戴蒙德,枪炮、病菌与钢铁,18379,45.00元,8.8,2006-4-1
匪我思存,来不及说我爱你,20031,20.00元,8.1,2006-9
[日] 东野圭吾,新参者,19434,28.00元,8.4,2011-9
陈丹青,退步集,19984,38.00元,8.1,2005-1
[美] 米奇·阿尔博姆,相约星期二,19138,19.00元,8.4,2007-7
王小波,红拂夜奔,18535,28.00元,8.6,2005-1
韩寒,可爱的洪水猛兽,19772,25.00元,8.1,2009-08-01
幾米,星空,17092,NT369,9.0,2009-5-1
流潋紫,后宫·甄嬛传Ⅰ,19445,22.00元,8.0,2007-2
